location,cc,adm1,code,region,group,kenrick2004,cva2,consp,ips,daf,dafcode,delage,mees,bib,notes,gns,lng,lat,
Aachen,DE,Nordrhein-Westfalen,EGTS,"East Gaulish","Lower Germany",,,,23,262,,delage,Ginf,,,Aachen/DE/Nordrhein-Westfalen,6.1,50.7667,
Abella,ES,Gerona,SPTS,Spanish,"Late Imperial production",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Abella/ES/Gerona,2.31667,42.3167,
Abella,ES,Gerona,SPTS,Spanish,"Lérida region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Abella/ES/Gerona,2.31667,42.3167,
Aegerten,CH,,,,,,,,,,,delage,,,"nr Brugg",,,,
Altenstadt,FR,67/Bas-Rhin,,,,,,,,233,,,"mould only",,,Altenstadt/FR/67/Bas-Rhin,7.96667,49.0333,
Ampurias,ES,Gerona,ITTS,Italian-type,,,,p20,,,,,,conspectus,,Ampurias/ES/Gerona,3.11667,42.1333,
Andújar,ES,Jaén,SPTS,Spanish,"Andujar region",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Andújar/ES/Jaén,-4.06667,38.05,
"Arenzana de Abajo",ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,"Arenzana de Abajo/ES/Logroño",-2.71667,42.3833,
"Arenzana de Arriba",ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,"Arenzana de Arriba/ES/Logroño",-2.68333,42.3833,
Arezzo,IT,,ITTS,Italian,"Arrezo group",p253,p25,p5,,,,,,,,Arezzo/IT/,11.88,43.464,
Argonne,FR,55/Meuse,,,,,,,,,,delage,,,"Argonne group",,,,
Aspiran,FR,34/Hérault,SGTS,"South Gaulish","Groupe de La Graufesenque",,,p20,8,113,As,delage,,,,Aspiran/FR/34/Hérault,3.43333,43.5667,
Augst,CH,,,,,,,,,,,delage,"mould only",,,,,,
Avenches,CH,,EGTS,"East Gaulish",Swiss,,,,,275,,delage,,,"daf: kilns and wasters",Avenches/CH/,7.05,46.8833,
Avocourt,FR,55/Meuse,ARGO,Argonne,"Groupe d'Argonne",,,,24,204,Av,,,,,Avocourt/FR/55/Meuse,5.15,49.2,
Baden,CH,Aargau,EGTS,"East Gaulish","Helvetische Ware",,,,25,275,,delage,"Helvetische Ware",,"daf: kilns and wasters",Baden/CH/Aargau,8.3,47.4667,
Banassac,FR,48/Lozère,SGTS,"South Gaulish","Groupe de La Graufesenque",,,,2,103,Ba,,,,,Banassac/FR/48/Lozère,3.2,44.4333,
"Baños de Río Tobía",ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,"Baños de Río Tobía/ES/Logroño",-2.75,42.3333,
Beinstein,DE,Baden-Württemberg,,,Trans-Rhine,,,,,262,,,,,"ips: Waiblingen-Beinstein, daf: Wainlingen-Beinstein",Beinstein/DE/Baden-Württemberg,9.35,48.8167,
